désignation,français,traduction en créole guyanais
mot,Vaurien,"Pandriyò, kòkòdò, Bozobyo, Zotobwé, Drivayè,"
mot,Vaurien,Pa val pa (vieilli)
mot,Vaut rien (ne),Pa valé pa (vieilli)
mot,Vendeur,Vandò
mot,Venir près de,Bordé
mot,Verre,Goblé
mot,"Vers, aux environs","Bò di, bò’d"
mot,Vers (vermines de chien),Zenga
mot,Veste,Palto
mot,Viande (de la),"Lachè, vyann"
mot,Vitesse,Balan
mot,Vivoter,Djoubaté
mot,Voisin,Vwézen
mot,Vois-tu !,Tandé !
mot,Voix,"Vwè, vwa"
